lokace_id,lokace_short,lokace_short_norm,knoddel_cisloknih,knoddel_nazev,stav_fondu_celkem_zdroj,datum,pobocka_cislo,je_realokace
533,manipul4,MANIPUL4,,,0,2025-09-30,,False
532,manipul3,MANIPUL3,,,0,2025-09-30,,False
531,manipul2,MANIPUL2,,,0,2025-09-30,,False
530,manipul1,MANIPUL1,,,0,2025-09-30,,False
338,Michle,MICHLE,,,0,2025-09-30,,False
506,XNVE-POK,XNVE-POK,43.0,(formální) Pankrác,0,2025-09-30,43,False
1266,CER-SELF,CER-SELF,32.0,(zavřeno) Černý Most,0,2025-09-30,32,False
1265,CER-HRAB,CER-HRAB,32.0,(zavřeno) Černý Most,0,2025-09-30,32,False
1264,CER-POK,CER-POK,32.0,(zavřeno) Černý Most,0,2025-09-30,32,False
634,CI1-PRSK1,CI1-PRSK1,30.0,(zrušeno) Cibulka,0,2025-09-30,30,False
630,CI1-POK,CI1-POK,30.0,(zrušeno) Cibulka,0,2025-09-30,30,False
635,CI1-PRSK2,CI1-PRSK2,30.0,(zrušeno) Cibulka,0,2025-09-30,30,False
633,CI1-LITDO,CI1-LITDO,30.0,(zrušeno) Cibulka,0,2025-09-30,30,False
767,CIB1-DOPOR,CIB1-DOPOR,30.0,(zrušeno) Cibulka,0,2025-09-30,30,False
631,CI1-HRAB,CI1-HRAB,30.0,(zrušeno) Cibulka,0,2025-09-30,30,False
730,CI1-VSMS,CI1-VSMS,30.0,(zrušeno) Cibulka,0,2025-09-30,30,False
632,CI1-CHFDO,CI1-CHFDO,30.0,(zrušeno) Cibulka,0,2025-09-30,30,False
197,LE3-VYLOHY,LE3-VYLOHY,39.0,(zrušeno) Letná-děti,0,2025-09-30,39,False
196,LE3-HRAB,LE3-HRAB,39.0,(zrušeno) Letná-děti,0,2025-09-30,39,False
199,LE3-NAUDE,LE3-NAUDE,39.0,(zrušeno) Letná-děti,0,2025-09-30,39,False
198,LE3-PRSK,LE3-PRSK,39.0,(zrušeno) Letná-děti,0,2025-09-30,39,False
202,LE3-STUD,LE3-STUD,39.0,(zrušeno) Letná-děti,0,2025-09-30,39,False
204,LE3-CASOP,LE3-CASOP,39.0,(zrušeno) Letná-děti,0,2025-09-30,39,False
799,LE3-DOPOR,LE3-DOPOR,39.0,(zrušeno) Letná-děti,0,2025-09-30,39,False
206,LE3-POK,LE3-POK,39.0,(zrušeno) Letná-děti,0,2025-09-30,39,False
201,LE3-CHFOND,LE3-CHFOND,39.0,(zrušeno) Letná-děti,0,2025-09-30,39,False
200,LE3-BELDE,LE3-BELDE,39.0,(zrušeno) Letná-děti,0,2025-09-30,39,False
203,LE3-SPRSK,LE3-SPRSK,39.0,(zrušeno) Letná-děti,0,2025-09-30,39,False
626,5KV-NAUDO,5KV-NAUDO,43.0,(zrušeno) Pankrác,0,2025-09-30,43,False
557,5KV-POK,5KV-POK,43.0,(zrušeno) Pankrác,0,2025-09-30,43,False
