pobocka_cislo,lokace_short_norm,OCH,kapacita_fyzicka,stav_na_regalu,lokace_id
1,1.PATRO,Sklad,81602.0,0.0,56
1,3.PATRO,Sklad,31682.0,0.0,57
1,AK,AK,250.0,0.0,111
1,AUDIO,Sklad,10500.0,0.0,25
1,BELETRIE,Beletrie - dospělí,8760.0,0.0,3
1,CASDE,Časopisy pro děti,187.0,0.0,1087
1,CIZÍ-JAZYK,Beletrie - dospělí,7241.0,0.0,609
1,DIVPRI,Chráněný fond,2081.0,0.0,134
1,DVDDE,DVD - dětské knihy v přízemí,354.0,0.0,1089
1,DVOJJAZ,Beletrie - dospělí,583.0,0.0,692
1,DVOREK+HUVZA+SKLADHUD+STARHUD,Sklad,23736.0,0.0,
1,DĚTI,Beletrie - děti,5939.0,0.0,22
1,DĚTI,Naučná - děti,2903.0,0.0,22
1,DĚTI-KOM,Beletrie - děti,0.0,0.0,1134
1,HRABÁTKO,Dnes vrácené knihy,3140.0,0.0,81
1,HUD-GAL,Naučná - dospělí,2498.0,0.0,1030
1,HUD-ML (ASI),Hudební literatura vybraná pro mládež,419.0,0.0,
1,HUDBA,Naučná - dospělí,3034.0,0.0,26
1,HUDPRI,Chráněný fond,1148.0,0.0,135
1,INFORMACE,Chráněný fond,2116.0,0.0,68
1,JAKURZY,JK,428.0,0.0,1022
1,LEPORELA,Beletrie - děti,0.0,0.0,1133
1,MASKY,Naučná - dospělí,6932.0,0.0,63
1,MEZIPATRO,Sklad,65621.0,0.0,55
1,MLUV,CD,721.0,0.0,978
1,MLUV-DĚTI,CD,208.0,0.0,979
1,MLÁDEŽ,Knihy pro mládež na galerii,2676.0,0.0,23
1,MLÁDEŽ-KOM,Komiksy - knihy na galerii pro mládež,654.0,0.0,1136
1,MUZIKA,CD,591.0,0.0,1031
1,NAUCMAP,Mapy u naučné literatury,536.0,0.0,983
1,NAUČNÁ,Naučná - dospělí,23476.0,0.0,2
1,PIKTOGRAMY,Beletrie - dospělí,6487.0,0.0,608
1,POEZIE,Beletrie - dospělí,1684.0,0.0,610
1,PRAGENSIA,Naučná - dospělí,4135.0,0.0,65
1,PRAHA,Chráněný fond,2253.0,0.0,66
1,PREZENT,Naučná - dospělí,1558.0,0.0,1
1,PRVNÍČTENÍ,Beletrie - děti,95.0,0.0,1135
1,STUDENT,Studovna pro děti a mládež,116.0,0.0,24
1,THEATRE,Naučná - dospělí,2884.0,0.0,27
1,THEATRE,Volný výběr v divadelním úseku,1190.0,0.0,27
1,VYSTAVML,Tematické výstavky na příčné galerii pro mládež,319.0,0.0,1129
1,VYSTDOSP,Doporučujeme (dospělí),59.0,0.0,1028
1,VÁZANKY,Příruční sklad,4487.0,0.0,64
1,VÝSTAVKY,Doporučujeme (dospělí),1336.0,0.0,109
1,ZVUK,CD,1463.0,0.0,980
1,ČASOPISY,Časopisy pro dospělé,630.0,0.0,53
1,ČASZAPULT,Sklad,5434.0,0.0,87
3,HRA-BELDO,Beletrie - dospělí,1412.0,0.0,672
3,HRA-CASDE,Časopisy pro děti,26.0,0.0,890
3,HRA-CHF,AK,12.0,0.0,669
3,HRA-CHF,CD,500.0,0.0,669
3,HRA-DE,Beletrie - dospělí,14.0,0.0,670
3,HRA-DE,Beletrie - děti,733.0,0.0,670
3,HRA-DE,Deskové hry,10.0,0.0,670
3,HRA-DE,Naučná - děti,405.0,0.0,670
3,HRA-DE,None,100.0,0.0,670
3,HRA-DOPOR,Beletrie - dospělí,170.0,0.0,772
3,HRA-DOPOR,CD,60.0,0.0,772
3,HRA-NAUDO,Naučná - dospělí,1556.0,0.0,673
3,HRA-PIKTO,Beletrie - dospělí,122.0,0.0,674
3,HRA-PIKTO,Beletrie - děti,67.0,0.0,674
3,HRA-POEDI,Beletrie - dospělí,191.0,0.0,671
3,HRA_CASDO,Časopisy pro dospělé,100.0,0.0,
3,NONE,Dnes vrácené knihy,90.0,0.0,
3,NONE,Rezervace,60.0,0.0,
4,NONE,Dnes vrácené knihy,173.0,0.0,
4,NONE,Rezervace,260.0,0.0,
4,OST-BEL,Beletrie - dospělí,4313.0,3.0,367
4,OST-CAS-DE,Časopisy pro děti,11.0,0.0,
4,OST-CASDO,Časopisy pro dospělé,21.0,0.0,891
4,OST-DETI,Beletrie - děti,2022.0,0.0,370
4,OST-DETI,Naučná - děti,426.0,2.25,370
4,OST-DETI,None,100.0,0.0,370
4,OST-DOPDE,Beletrie - děti,36.0,0.0,369
4,OST-DOPOR,Beletrie - dospělí,65.0,0.0,805
4,OST-DOPOR,Naučná - dospělí,16.0,0.0,805
4,OST-KOMIKS,Beletrie - dospělí,80.0,0.0,893
4,OST-KOMIKS,Beletrie - děti,85.0,0.0,893
4,OST-NAUDO,Naučná - dospělí,2412.0,6.0,366
4,OST-VSMS,CD,20.0,0.0,762
5,HOL-AUDIO,CD,0.0,0.0,923
5,HOL-BELDO,Beletrie - dospělí,5693.0,0.0,412
5,HOL-BELDO,Doporučujeme (dospělí),25.0,0.0,412
5,HOL-CASDO,Časopisy pro dospělé,126.0,0.0,414
