pobocka_cislo,lokace_short_norm,OCH,kapacita_realokace,lokace_id
1,BELETRIE,A1,6700.0,3
1,CIZÍ-JAZYK,J1,600.0,609
1,CIZÍ-JAZYK,J2,600.0,609
1,CIZÍ-JAZYK,J3,650.0,609
1,CIZÍ-JAZYK,J4,2700.0,609
1,CIZÍ-JAZYK,J5,300.0,609
1,CIZÍ-JAZYK,,800.0,609
1,DVOJJAZ,,480.0,692
1,DĚTI,A2,470.0,22
1,DĚTI,A3,1570.0,22
1,DĚTI,A4,1000.0,22
1,DĚTI,B2,5.0,22
1,DĚTI,C,105.0,22
1,DĚTI,D,185.0,22
1,DĚTI,E,100.0,22
1,DĚTI,J1,290.0,22
1,DĚTI,J2,20.0,22
1,DĚTI,J3,65.0,22
1,DĚTI,J4,210.0,22
1,DĚTI,K,425.0,22
1,DĚTI,L,85.0,22
1,DĚTI,N,165.0,22
1,DĚTI,P,75.0,22
1,DĚTI,R,75.0,22
1,DĚTI,S,145.0,22
1,DĚTI,T,65.0,22
1,DĚTI,U,25.0,22
1,DĚTI,V,80.0,22
1,DĚTI,Y,105.0,22
1,DĚTI,Z,95.0,22
1,DĚTI,,545.0,22
1,DĚTI-KOM,,205.0,1134
1,LEPORELA,,400.0,1133
1,MLÁDEŽ,C,55.0,23
1,MLÁDEŽ,D,175.0,23
1,MLÁDEŽ,E,175.0,23
1,MLÁDEŽ,G,25.0,23
1,MLÁDEŽ,J1,40.0,23
1,MLÁDEŽ,J2,10.0,23
1,MLÁDEŽ,J3,50.0,23
1,MLÁDEŽ,J4,410.0,23
1,MLÁDEŽ,K,200.0,23
1,MLÁDEŽ,L,80.0,23
1,MLÁDEŽ,N,65.0,23
1,MLÁDEŽ,P,30.0,23
1,MLÁDEŽ,R,75.0,23
1,MLÁDEŽ,S,90.0,23
1,MLÁDEŽ,T,30.0,23
1,MLÁDEŽ,U,10.0,23
1,MLÁDEŽ,W,5.0,23
1,MLÁDEŽ,X,110.0,23
1,MLÁDEŽ,Y,125.0,23
1,MLÁDEŽ,Z,30.0,23
1,MLÁDEŽ,,40.0,23
1,MLÁDEŽ-KOM,,810.0,1136
1,NAUČNÁ,C,680.0,2
1,NAUČNÁ,D,1800.0,2
1,NAUČNÁ,E,1200.0,2
1,NAUČNÁ,G,1500.0,2
1,NAUČNÁ,K,700.0,2
1,NAUČNÁ,L,2200.0,2
1,NAUČNÁ,N,1140.0,2
1,NAUČNÁ,O,430.0,2
1,NAUČNÁ,P,1200.0,2
1,NAUČNÁ,R,380.0,2
1,NAUČNÁ,S,1400.0,2
1,NAUČNÁ,T,660.0,2
1,NAUČNÁ,W,570.0,2
1,NAUČNÁ,X,1500.0,2
1,NAUČNÁ,Y,600.0,2
1,NAUČNÁ,Z,630.0,2
1,PIKTOGRAMY,A1,4160.0,608
1,POEZIE,B2,1600.0,610
1,PRVNÍČTENÍ,,125.0,1135
3,HRA-BELDO,A1,1190.0,672
3,HRA-DE,A1,40.0,670
3,HRA-DE,A2,100.0,670
3,HRA-DE,A3,230.0,670
3,HRA-DE,A4,105.0,670
3,HRA-DE,B2,20.0,670
3,HRA-DE,C,35.0,670
3,HRA-DE,D,50.0,670
3,HRA-DE,E,25.0,670
3,HRA-DE,"G,O,W",10.0,670
3,HRA-DE,J1,3.0,670
3,HRA-DE,J2,5.0,670
3,HRA-DE,J3,10.0,670
3,HRA-DE,J4,15.0,670
3,HRA-DE,J5,3.0,670
3,HRA-DE,K,140.0,670
3,HRA-DE,L,25.0,670
3,HRA-DE,N,25.0,670
3,HRA-DE,P,25.0,670
3,HRA-DE,R,45.0,670
3,HRA-DE,S,25.0,670
3,HRA-DE,T,22.0,670
3,HRA-DE,U,15.0,670
3,HRA-DE,V,25.0,670
3,HRA-DE,X,5.0,670
3,HRA-DE,Y,10.0,670
3,HRA-DE,Z,25.0,670
3,HRA-DE,,356.0,670
3,HRA-NAUDO,C,55.0,673
3,HRA-NAUDO,D,140.0,673
3,HRA-NAUDO,E,200.0,673
3,HRA-NAUDO,G,100.0,673
3,HRA-NAUDO,K,90.0,673
3,HRA-NAUDO,L,85.0,673
3,HRA-NAUDO,N,35.0,673
3,HRA-NAUDO,O,15.0,673
3,HRA-NAUDO,P,70.0,673
3,HRA-NAUDO,R,30.0,673
3,HRA-NAUDO,S,85.0,673
3,HRA-NAUDO,T,15.0,673
3,HRA-NAUDO,V,15.0,673
