lokace_id,oznaceni,typ
462,G - SPOLEČENSKÉ VĚDY.,Naučná - dospělí
462,O - PRÁVO. PRÁVNÍ VĚDA.,Naučná - dospělí
462,R - JAZYKOVĚDA.,Naučná - dospělí
462,S - UMĚNÍ.,Naučná - dospělí
462,V - HUDBA.,Naučná - dospělí
462,W - VOJENSTVÍ.,Naučná - dospělí
462,X - LITERATURA.,Naučná - dospělí
227,V - HUDBA.,Naučná - dospělí
221,C - DOMÁCNOST.,Naučná - dospělí
221,D - DĚJINY. DĚJEPIS.,Naučná - dospělí
221,E - ZEMĚPIS. VLASTIVĚDA. ETNOGRAFIE.,Naučná - dospělí
221,G - SPOLEČENSKÉ VĚDY.,Naučná - dospělí
221,K - PŘÍRODNÍ VĚDY.,Naučná - dospělí
221,L - FILOZOFIE. PSYCHOLOGIE. ESTETIKA. ETIKA. LOGIKA. NÁBOŽENSTVÍ.,Naučná - dospělí
221,N - PEDAGOGIKA. ŠKOLSTVÍ. VÝCHOVA. VZDĚLÁVÁNÍ.,Naučná - dospělí
221,O - PRÁVO. PRÁVNÍ VĚDA.,Naučná - dospělí
221,P - LÉKAŘSTVÍ A ZDRAVOTNICTVÍ.,Naučná - dospělí
221,R - JAZYKOVĚDA.,Naučná - dospělí
221,S - UMĚNÍ.,Naučná - dospělí
221,T - TECHNIKA.,Naučná - dospělí
221,W - VOJENSTVÍ.,Naučná - dospělí
221,X - LITERATURA.,Naučná - dospělí
221,Y - TĚLESNÁ VÝCHOVA A SPORT,Naučná - dospělí
221,Z - ZEMĚDĚLSTVÍ. LESNICTVÍ. MYSLIVOST.,Naučná - dospělí
146,C - DOMÁCNOST.,Naučná - dospělí
146,D - DĚJINY. DĚJEPIS.,Naučná - dospělí
146,S - UMĚNÍ.,Naučná - dospělí
146,W - VOJENSTVÍ.,Naučná - dospělí
213,L - FILOZOFIE. PSYCHOLOGIE. ESTETIKA. ETIKA. LOGIKA. NÁBOŽENSTVÍ.,Naučná - dospělí
213,O - PRÁVO. PRÁVNÍ VĚDA.,Naučná - dospělí
213,P - LÉKAŘSTVÍ A ZDRAVOTNICTVÍ.,Naučná - dospělí
213,W - VOJENSTVÍ.,Naučná - dospělí
213,Y - TĚLESNÁ VÝCHOVA A SPORT,Naučná - dospělí
673,C - DOMÁCNOST.,Naučná - dospělí
673,D - DĚJINY. DĚJEPIS.,Naučná - dospělí
673,E - ZEMĚPIS. VLASTIVĚDA. ETNOGRAFIE.,Naučná - dospělí
673,G - SPOLEČENSKÉ VĚDY.,Naučná - dospělí
673,K - PŘÍRODNÍ VĚDY.,Naučná - dospělí
673,L - FILOZOFIE. PSYCHOLOGIE. ESTETIKA. ETIKA. LOGIKA. NÁBOŽENSTVÍ.,Naučná - dospělí
673,N - PEDAGOGIKA. ŠKOLSTVÍ. VÝCHOVA. VZDĚLÁVÁNÍ.,Naučná - dospělí
673,O - PRÁVO. PRÁVNÍ VĚDA.,Naučná - dospělí
