lokace_id,kapacita_deskriptor,kapacita_och
148,,B2
148,,E
148,,L
148,,P
148,,R
148,,S
148,,T
148,,U
148,,V
367,,J1
148,,X
148,,Y
148,,Z
822,,V
380,,J1
822,,C
822,,D
822,,E
822,,L
822,,N
822,,P
822,,R
1091,,B2
822,,S
822,,T
822,,X
822,,Y
822,,Z
240,,C
240,,E
240,,K
240,,L
240,,N
240,,P
240,,R
240,,S
240,,T
240,,U
240,,V
240,,X
240,,Y
240,,Z
242,,C
242,,D
242,,E
242,,G
242,,L
242,,N
242,,O
242,,P
242,,R
242,,S
242,,T
242,,U
500,,E
500,,R
500,,T
500,,U
500,,V
500,,Y
844,,B2
22,,C
212,,A1
22,,D
22,,E
22,,K
22,,L
22,,N
380,,D
513,,D
22,,P
22,,R
22,,S
671,,J1
671,,J2
380,,E
219,,L
219,,R
212,,B2
513,,L
22,,T
380,,L
22,,V
380,,P
380,,R
513,,S
22,,Y
754,,L
754,,P
754,,R
754,,T
754,,V
754,,X
380,,S
22,,Z
380,,T
525,,J4
525,,C
525,,E
525,,P
525,,R
525,,S
525,,T
525,,U
525,,V
513,,Z
380,,U
22,,B2
23,,W
212,,C
212,,E
118,,B2
360,,B2
360,,L
360,,P
360,,R
360,,T
360,,V
360,,Y
355,,J2
543,,A1
310,,B2
543,,K
543,,L
543,,N
912,,B1
545,,E
545,,G
1003,,E
1003,,L
1003,,P
1003,,R
1003,,S
1003,,T
1003,,V
1003,,X
1003,,Y
1003,,Z
545,,P
380,,V
380,,X
327,,B2
670,,J2
380,,Z
670,,C
670,,E
670,,L
670,,N
670,,P
670,,R
670,,S
545,,R
670,,V
670,,Z
212,,P
370,,N
370,,S
370,,X
912,,K
412,,J1
415,,E
415,,V
415,,Y
415,,Z
413,,U
600,,A1
600,,S
600,,T
600,,V
600,,Z
604,,B1
118,,E
118,,L
118,,P
118,,S
118,,T
118,,X
118,,Y
118,,Z
912,,R
493,,J1
493,,J2
496,,D
496,,E
496,,N
496,,V
496,,Y
494,,R
494,,Y
494,,Z
212,,T
912,,T
912,,V
565,,B2
537,,J1
912,,X
545,,S
565,,D
1042,,A1
242,,V
242,,W
242,,X
242,,Y
565,,E
437,,B2
437,,C
437,,E
437,,L
565,,L
437,,N
249,,B2
565,,R
565,,S
565,,T
545,,T
565,,U
565,,V
565,,X
566,,U
392,,A4
392,,J1
392,,J2
392,,B2
545,,W
545,,X
545,,Y
545,,Z
437,,P
393,,R
393,,U
393,,X
701,,E
592,,B2
593,,J3
593,,J5
1018,,C
1018,,D
1018,,E
1018,,L
1018,,N
1018,,P
1018,,R
1018,,T
1018,,V
1018,,Y
1018,,Z
715,,P
715,,R
715,,S
701,,L
715,,V
715,,Y
715,,Z
437,,R
437,,S
437,,T
437,,U
437,,V
437,,X
437,,Y
437,,Z
441,,J1
212,,V
654,,B2
655,,G
701,,P
655,,X
328,,P
328,,U
701,,R
270,,B2
270,,E
701,,S
270,,P
270,,T
270,,U
586,,B2
701,,T
539,,C
701,,V
539,,L
539,,P
539,,R
539,,T
539,,U
167,,J2
167,,J3
167,,J4
701,,Y
168,,T
168,,U
212,,X
168,,X
586,,K
617,,B2
701,,Z
617,,J3
614,,J1
614,,J2
614,,J3
618,,L
618,,P
618,,T
618,,X
212,,Y
565,,P
586,,N
473,,U
465,,B2
464,,C
464,,D
464,,E
464,,L
464,,N
464,,P
464,,R
464,,S
464,,T
464,,V
464,,X
464,,Y
464,,Z
462,,U
474,,B2
474,,N
1056,,B2
1056,,N
700,,U
586,,Y
1099,,B2
1099,,D
1099,,E
1099,,S
1099,,T
1099,,U
1099,,Z
1018,,X
1018,,S
1099,,"G,O,W"
1233,,"G,O,W"
1240,,U
1212,,A1
1211,,B1
1114,,Y
148,,C
148,,D
148,,N
516,,J1
822,,K
516,,J2
367,,J5
822,,U
1035,,J1
513,,A1
238,,J1
238,,J2
1035,,J5
240,,D
380,,A1
370,,A1
146,,U
242,,K
500,,D
500,,N
500,,S
638,,C
507,,"P,R,V,Y"
380,,C
219,,A1
219,,C
219,,D
219,,K
219,,N
219,,S
219,,Y
671,,J3
380,,N
671,,J5
752,,J1
752,,J5
638,,E
638,,L
754,,E
754,,N
754,,S
754,,U
754,,Z
638,,T
116,,J1
513,,V
513,,X
525,,B2
525,,L
525,,X
525,,Y
638,,V
664,,B2
638,,Y
638,,Z
449,,"W,O,X,R"
23,,U
23,,J2
514,,U
212,,D
360,,C
360,,E
360,,N
360,,Z
355,,J1
355,,J3
544,,B1
544,,J2
544,,J3
544,,J5
212,,K
310,,A1
449,,S
1003,,C
543,,U
545,,C
545,,D
1037,,B1
545,,L
545,,N
1003,,D
1003,,"G,O,W"
1003,,N
380,,Y
670,,J3
670,,D
670,,"G,O,W"
212,,N
370,,E
370,,R
370,,V
370,,Y
212,,R
412,,J2
415,,K
415,,N
415,,R
212,,S
603,,J1
603,,J2
912,,N
600,,C
600,,D
912,,P
600,,Y
604,,A2
604,,A3
604,,A4
604,,O
699,,B1
604,,Y
118,,C
118,,D
118,,"G,O,W"
118,,K
118,,R
118,,V
493,,J3
496,,K
912,,S
496,,Z
494,,D
494,,U
567,,J1
567,,J2
567,,J5
565,,C
1040,,U
242,,Z
437,,K
715,,A1
565,,K
565,,N
701,,C
565,,Y
565,,Z
665,,A1
328,,C
328,,E
396,,A1
393,,E
701,,D
393,,S
393,,T
393,,Z
390,,U
404,,A1
875,,J1
593,,B1
593,,J4
591,,O
591,,W
591,,X
1018,,K
1018,,U
715,,C
715,,D
715,,E
715,,L
715,,N
715,,T
715,,X
496,,A1
701,,N
441,,J2
654,,A1
653,,J2
653,,J3
714,,U
328,,L
328,,S
328,,Z
116,,J2
270,,L
270,,R
270,,Z
539,,A1
539,,B2
539,,D
539,,E
539,,S
539,,V
167,,B2
168,,E
168,,P
168,,V
618,,E
618,,N
618,,R
618,,S
618,,Y
618,,Z
1042,,S
1095,,A1
1042,,U
212,,Z
1038,,V
465,,J1
465,,J2
464,,K
474,,K
1127,,X
1099,,C
1099,,N
1099,,R
822,,"G,O,W"
1236,,J5
1233,,C
1233,,D
1233,,E
1233,,P
1233,,R
1233,,S
1233,,U
1233,,V
1233,,Z
1240,,C
1240,,N
1240,,"G,O,W"
1211,,O
148,,K
367,,J2
367,,J3
207,,B1
238,,J3
500,,K
500,,Z
499,,B1
507,,A2
380,,B2
592,,A1
1253,,J1
380,,K
223,,P
223,,T
752,,J2
754,,C
754,,D
670,,A1
754,,Y
116,,J3
525,,D
445,,U
360,,D
360,,K
1003,,K
670,,B2
912,,D
670,,K
449,,P
449,,Y
912,,L
663,,J5
600,,K
604,,U
604,,E
376,,U
1121,,X
567,,J3
361,,B1
537,,B1
912,,Z
537,,J2
537,,J3
537,,J5
713,,J1
392,,A1
328,,D
389,,J1
393,,D
393,,K
393,,V
593,,B2
591,,Y
328,,K
701,,K
441,,J3
328,,N
976,,K
976,,N
273,,J5
270,,K
270,,S
539,,Z
168,,N
168,,R
168,,S
168,,Z
617,,A1
618,,C
618,,D
618,,K
473,,B1
1038,,O
1038,,U
465,,A1
1099,,K
380,,J5
1236,,J1-3
1211,,W
1115,,AA
380,,J2
500,,P
22,,J2
118,,A1
360,,A1
360,,U
360,,X
355,,J4
543,,E
543,,P
543,,R
543,,S
543,,T
543,,V
543,,Y
543,,Z
1003,,U
670,,T
370,,T
1040,,D
1040,,E
1040,,L
1040,,N
118,,J4
496,,L
496,,P
496,,R
496,,S
496,,T
1040,,P
1040,,R
1040,,S
1040,,T
1040,,V
1040,,X
1040,,Y
1040,,Z
392,,J5
1127,,A1
655,,E
655,,N
586,,E
1042,,E
1042,,N
1042,,R
1042,,T
465,,J3
1127,,P
1099,,P
1099,,V
1099,,X
219,,P
219,,T
513,,N
513,,P
513,,R
513,,T
753,,U
513,,Y
543,,C
543,,D
543,,X
545,,O
670,,X
370,,J1
370,,D
370,,G
370,,O
370,,W
370,,L
370,,P
370,,U
415,,D
415,,L
415,,P
415,,S
415,,T
415,,U
600,,B2
600,,E
496,,B2
496,,C
494,,C
494,,E
494,,G
494,,L
494,,N
494,,O
494,,P
494,,S
494,,T
494,,V
494,,X
545,,U
392,,J3
392,,J4
593,,J1
655,,O
655,,U
655,,W
167,,J5
167,,J1
1042,,L
617,,J1
617,,J2
617,,J4
1042,,P
618,,U
249,,C
249,,D
249,,E
249,,K
249,,L
249,,N
249,,P
249,,R
249,,S
249,,T
249,,U
249,,V
249,,X
249,,Y
249,,Z
1042,,V
1042,,X
1042,,Y
1042,,Z
586,,P
465,,J4
464,,U
474,,C
474,,D
