lokace_id,lokace_short,pobocka_nazev,pobocka_cislo,oblast,je_realokace,stav_fondu_celkem,kapacita_celkem,kapacita_fyzicka_sum,kapacita_realokace_sum,volna_kapacita,naplnenost_pct,rozdil,pretizena,rizikova
474,RAJ-LITDE,Rajská zahrada,87,Severovýchod,True,1813,1725.0,2286.0,1725.0,-88.0,105.10144927536231,88.0,True,True
517,DAB-PIKTO,Ládví,88,Severovýchod,True,904,755.0,1055.0,755.0,-149.0,119.73509933774835,149.0,True,True
413,HOL-NAUDO,Sedmička,5,Severovýchod,True,3278,4375.0,6358.0,4375.0,1097.0,74.92571428571428,-1097.0,False,False
1141,KOR-KOMDO,Korunní,18,Jihovýchod,True,431,350.0,,350.0,-81.0,123.14285714285715,81.0,True,True
389,SMI-BELDO,Smíchov,29,Jihozápad,True,9913,10080.0,14251.0,10080.0,167.0,98.34325396825396,-167.0,False,True
823,DED-LITDO,Dědina,37,Středozápad,True,4898,3630.0,5230.0,3630.0,-1268.0,134.93112947658403,1268.0,True,True
212,DIT-LITDE,Dittrichova,51,Středozápad,True,2640,2533.0,3977.0,2533.0,-107.0,104.22424003158311,107.0,True,True
1066,MAL-KOMIKS,Malešice,61,Jihovýchod,True,292,200.0,200.0,200.0,-92.0,146.0,92.0,True,True
1038,MAL-NAUDO,Malešice,61,Jihovýchod,True,2669,1680.0,2552.0,1680.0,-989.0,158.86904761904762,989.0,True,True
355,ZAH-NAUDE,Záhřebská,65,Středozápad,True,351,732.0,1013.0,732.0,381.0,47.950819672131146,-381.0,False,False
168,LUZ-DENA,Lužiny,81,Jihozápad,True,2355,2035.0,3399.0,2035.0,-320.0,115.72481572481573,320.0,True,True
926,DEJ-MAPY,Dejvice,38,Středozápad,False,378,68.0,68.0,,-310.0,555.8823529411765,310.0,True,True
245,NOV-HRAB,Novodvorská,41,Jih,False,125,526.0,526.0,,401.0,23.76425855513308,-401.0,False,False
472,RAJ-HRAB,Rajská zahrada,87,Severovýchod,False,0,147.0,147.0,,147.0,0.0,-147.0,False,False
601,KOB-CHFDE,Kobylisy,7,Severovýchod,False,1,0.0,0.0,,-1.0,,1.0,,
789,CHU-DOPOR,Velká Chuchle,31,Jihozápad,False,22,60.0,60.0,,38.0,36.666666666666664,-38.0,False,False
255,JIR-HRAB,Chodov,89,Jih,False,166,289.0,289.0,,123.0,57.43944636678201,-123.0,False,False
801,KOB-DOPOR,Kobylisy,7,Severovýchod,False,228,68.0,68.0,,-160.0,335.29411764705884,160.0,True,True
669,HRA-CHF,Hradčany,3,Středozápad,False,614,512.0,512.0,,-102.0,119.921875,102.0,True,True
1287,KRC-RODIC,Krč,60,Jih,False,139,238.0,238.0,,99.0,58.40336134453782,-99.0,False,False
891,OST-CASDO,Ostrčilovo nám.,4,Středozápad,False,187,21.0,21.0,,-166.0,890.4761904761905,166.0,True,True
562,KOB-HRAB,Kobylisy,7,Severovýchod,False,86,215.0,215.0,,129.0,40.0,-129.0,False,False
522,KRC-HRAB,Krč,60,Jih,False,93,181.0,181.0,,88.0,51.38121546961326,-88.0,False,False
917,OSV-CASDE,Ostrovského,48,Jihozápad,False,59,30.0,30.0,,-29.0,196.66666666666666,29.0,True,True
818,DIT-VYSTAV,Dittrichova,51,Středozápad,False,295,56.0,56.0,,-239.0,526.7857142857143,239.0,True,True
57,3.patro,Ústřední knihovna,1,Ústřední knihovna,False,18360,31682.0,31682.0,,13322.0,57.95088693895587,-13322.0,False,False
1055,LET-HRAB,Letná,39,Severovýchod,False,15,89.0,89.0,,74.0,16.853932584269664,-74.0,False,False
605,KOB-VYLOHY,Kobylisy,7,Severovýchod,False,30,30.0,30.0,,0.0,100.0,0.0,False,True
765,BAR-DOPOR,Barrandov,62,Jihozápad,False,563,1349.0,1349.0,,786.0,41.73461823573017,-786.0,False,False
267,OPA-STUD,Opatov,58,Jih,False,1950,4552.0,4552.0,,2602.0,42.838312829525485,-2602.0,False,False
634,CI1-PRSK1,(zrušeno) Cibulka,30,Jihozápad,False,0,,,,,,,,
1263,BRU-D2PER,Vzácné tisky - objednávka,97,,False,134,,,,,,,,
97,PUJCP,Ústřední knihovna,1,Ústřední knihovna,False,0,,,,,,,,
997,BB4-HRAB,Krabice,99,,False,14,,,,,,,,
719,DEJ-HRAB2,Dejvice,38,Středozápad,False,3,,,,,,,,
728,VYM-KANC,Výměnné soubory,99,,False,0,,,,,,,,
288,HUS-KANC,Žižkov,15,Středozápad,False,0,,,,,,,,
160,LUZ-POK,Lužiny,81,Jihozápad,False,7,,,,,,,,
