lokace_id,lokace_short,pobocka_nazev,pobocka_cislo,oblast,je_realokace,OCH,kapacita_fyzicka,kapacita_realokace,kapacita_effective,stav_fondu_och
223,BOH-SKLAD,Bohnice,52,Severovýchod,True,JK,120.0,180.0,180.0,0.0
2,naučná,Ústřední knihovna,1,Ústřední knihovna,True,Naučná - dospělí,23476.0,,,0.0
670,HRA-DE,Hradčany,3,Středozápad,True,Beletrie - dospělí,14.0,,,0.0
673,HRA-NAUDO,Hradčany,3,Středozápad,True,Naučná - dospělí,1556.0,,,0.0
893,OST-KOMIKS,Ostrčilovo nám.,4,Středozápad,True,Beletrie - děti,85.0,,,0.0
762,OST-VSMS,Ostrčilovo nám.,4,Středozápad,False,CD,20.0,,20.0,0.0
603,KOB-DO,Kobylisy,7,Severovýchod,True,Naučná - dospělí,2827.0,,,0.0
958,SKO-KOMDO,Školská,8,Středozápad,True,Beletrie - dospělí,200.0,,,0.0
445,VYS-NAUDE,Vysočany,10,Severovýchod,True,Naučná - děti,37.0,,,0.0
1211,MLY-LITDO,Velký mlýn,11,Severovýchod,True,Beletrie - dospělí,1813.0,,,0.0
800,HLO-DOPOR,Hloubětín,13,Severovýchod,False,Deskové hry,20.0,,20.0,0.0
1121,HLO-LITDO,Hloubětín,13,Severovýchod,True,Naučná - dospělí,1398.0,,,0.0
315,HUS-DOMDE,Žižkov,15,Středozápad,True,Beletrie - děti,50.0,,,0.0
1002,HUS-KOMDE,Žižkov,15,Středozápad,True,Beletrie - děti,130.0,,,0.0
378,KOR-CASDO,Korunní,18,Jihovýchod,False,Časopisy pro dospělé,116.0,,116.0,0.0
903,VIK-CASDE,Vikova,25,Jih,False,Časopisy pro děti,30.0,,30.0,0.0
790,VIK-DOPOR,Vikova,25,Jih,False,Beletrie - dospělí,394.0,,394.0,0.0
559,VIK-HRAB,Vikova,25,Jih,False,Dnes vrácené knihy,208.0,,208.0,0.0
1148,SMI-CD,Smíchov,29,Jihozápad,False,CD,487.0,,487.0,0.0
924,BRE-CASDE,Břevnov,35,Středozápad,False,Časopisy pro děti,21.0,,21.0,0.0
