KAPACITA_CISLOKNIH;KAPACITA_LOKACE_SHORT;KAPACITA_PTR_TXDESK;KAPACITA_DESKRIPTOR;KAPACITA_OCH;KAPACITA_ROZLIS_VEK;KAPACITA_PLAN;KAPACITA_stav;KAPACITA_DATUM
35;BRE-BELDO;0;;A1;0;3480;4422;14.04.2025 21:45
35;BRE-BELDO;2017762;MILENCI (piktogram);A1;0;270;516;14.04.2025 21:45
35;BRE-BELDO;2017756;PISTOLE (piktogram);A1;0;585;802;14.04.2025 21:45
35;BRE-BELDO;0;;B1;0;180;166;14.04.2025 21:45
35;BRE-BELDO;0;;J1-J5;0;300;0;14.04.2025 21:45
4;OST-BEL;0;;A1;0;2540;2998;14.04.2025 21:45
35;BRE-BELDO;0;ost.cizi;;0;10;485;14.04.2025 21:45
35;BRE-BELDO;28081993;komiksy;;0;500;445;14.04.2025 21:45
35;BRE-LITDE;0;;A1;1;105;65;14.04.2025 21:45
35;BRE-LITDE;0;;A1;2;105;22;14.04.2025 21:45
35;BRE-LITDE;0;;A4;0;955;749;14.04.2025 21:45
35;BRE-LITDE;0;;A2;0;310;426;14.04.2025 21:45
18;KOR-BELDO;0;;A1;0;2650;3528;14.04.2025 21:45
88;DAB-BELDO;0;;A1;0;4000;5238;14.04.2025 21:47
35;BRE-LITDE;0;;A3;0;760;971;14.04.2025 21:45
35;BRE-LITDE;2017753;PRINCEZNA (piktogram);;0;370;179;14.04.2025 21:45
35;BRE-LITDE;2017752;PEGAS (piktogram);;1;125;20;14.04.2025 21:45
35;BRE-LITDE;2000088;leporela;;0;100;126;14.04.2025 21:45
35;BRE-LITDE;28081993;komiksy;;1;90;151;14.04.2025 21:45
25;VIK-BELDO;0;;A1;0;1900;2659;14.04.2025 21:45
25;VIK-BELDO;2017756;PISTOLE (piktogram);A1;0;430;468;14.04.2025 21:45
25;VIK-BELDO;2017759;E.T. (piktogram);A1;0;50;95;14.04.2025 21:45
25;VIK-BELDO;2017760;MÁG (piktogram);A1;0;100;116;14.04.2025 21:45
4;OST-BEL;2017762;MILENCI (piktogram);A1;0;25;363;14.04.2025 21:45
35;BRE-LITDE;28081993;komiksy;;2;5;12;14.04.2025 21:45
35;BRE-LITDE;0;poezie deti;;1;180;232;14.04.2025 21:45
35;BRE-LITDE;0;;B2;2;5;5;14.04.2025 21:45
35;BRE-LITDE;0;ost.cizi;;1;130;120;14.04.2025 21:45
35;BRE-LITDE;0;;C;1;50;46;14.04.2025 21:45
35;BRE-LITDE;0;;C;2;10;8;14.04.2025 21:45
35;BRE-LITDE;0;;D;1;110;101;14.04.2025 21:45
35;BRE-LITDE;0;;D;2;10;9;14.04.2025 21:45
35;BRE-LITDE;0;;E;1;25;35;14.04.2025 21:45
35;BRE-LITDE;0;;E;2;5;2;14.04.2025 21:45
35;BRE-LITDE;0;;K;1;185;214;14.04.2025 21:45
35;BRE-LITDE;0;;K;2;20;13;14.04.2025 21:45
35;BRE-LITDE;0;;L;1;40;57;14.04.2025 21:45
35;BRE-LITDE;0;;L;2;5;4;14.04.2025 21:45
35;BRE-LITDE;0;;N;1;65;60;14.04.2025 21:45
35;BRE-LITDE;0;;N;2;10;15;14.04.2025 21:45
35;BRE-LITDE;0;;P;1;20;38;14.04.2025 21:45
35;BRE-LITDE;0;;P;2;5;1;14.04.2025 21:45
18;KOR-BELDO;2017756;PISTOLE (piktogram);A1;0;580;649;14.04.2025 21:45
18;KOR-BELDO;2017758;LEBKA (piktogram);A1;0;320;496;14.04.2025 21:45
35;BRE-LITDE;0;;R;1;40;49;14.04.2025 21:45
88;DAB-BELDO;2017762;MILENCI (piktogram);A1;0;720;889;14.04.2025 21:47
84;STO-LEPOR;2000088;leporela;;0;100;43;14.04.2025 21:47
37;DED-LITDE;0;;V;1;15;21;14.04.2025 21:45
21;HOS-LITDE;2017761;DÍVKA (piktogram);;0;100;141;14.04.2025 21:45
51;DIT-BELDO;0;;A1;0;1735;2213;14.04.2025 21:46
35;BRE-LITDE;0;;R;2;5;4;14.04.2025 21:45
35;BRE-LITDE;0;;S;1;20;39;14.04.2025 21:45
58;OPA-LITDE;28081993;komiksy;;1;85;59;14.04.2025 21:46
35;BRE-LITDE;0;;S;2;5;3;14.04.2025 21:45
88;DAB-BELDO;2017756;PISTOLE (piktogram);A1;0;730;941;14.04.2025 21:47
4;OST-BEL;0;;B1;0;15;8;14.04.2025 21:45
25;VIK-BELDO;2017762;MILENCI (piktogram);A1;0;300;333;14.04.2025 21:45
35;BRE-LITDE;0;;T;1;30;48;14.04.2025 21:45
35;BRE-LITDE;0;;T;2;5;3;14.04.2025 21:45
35;BRE-LITDE;0;;U;1;25;37;14.04.2025 21:45
35;BRE-LITDE;0;;U;2;5;1;14.04.2025 21:45
35;BRE-LITDE;0;;V;1;40;42;14.04.2025 21:45
35;BRE-LITDE;0;;V;2;5;6;14.04.2025 21:45
4;OST-BEL;0;;B2;0;70;72;14.04.2025 21:45
4;OST-BEL;0;;J1;0;5;6;14.04.2025 21:45
35;BRE-LITDE;0;;X;1;10;12;14.04.2025 21:45
35;BRE-LITDE;0;;X;2;5;3;14.04.2025 21:45
35;BRE-LITDE;0;;Y;1;40;59;14.04.2025 21:45
35;BRE-LITDE;0;;Y;2;5;5;14.04.2025 21:45
35;BRE-LITDE;0;;Z;1;20;21;14.04.2025 21:45
35;BRE-LITDE;0;;Z;2;5;3;14.04.2025 21:45
35;BRE-LITDE;0;ost.naucna;;1;10;22;14.04.2025 21:45
35;BRE-LITDE;0;ost.naucna;;2;5;2;14.04.2025 21:45
35;BRE-NAUDO;0;;C;2;300;383;14.04.2025 21:45
37;DED-LITDE;0;;V;2;5;10;14.04.2025 21:45
4;OST-BEL;0;;J2;0;20;11;14.04.2025 21:45
4;OST-BEL;0;;J3;0;20;15;14.04.2025 21:45
18;KOR-DETI;0;;J1;1;5;0;14.04.2025 21:45
35;BRE-NAUDO;0;;D;2;1020;1184;14.04.2025 21:45
51;DIT-BELDO;2017756;PISTOLE (piktogram);A1;0;135;193;14.04.2025 21:46
35;BRE-NAUDO;0;;E;2;430;481;14.04.2025 21:45
35;BRE-NAUDO;0;;G;2;790;956;14.04.2025 21:45
37;DED-LITDE;0;;A1;0;50;141;14.04.2025 21:45
58;OPA-LITDE;28081993;komiksy;;2;5;0;14.04.2025 21:46
18;KOR-BELDO;0;;B1;0;90;106;14.04.2025 21:45
18;KOR-BELDO;0;;B2;0;400;462;14.04.2025 21:45
37;DED-LITDE;0;;A4;0;275;444;14.04.2025 21:45
35;BRE-NAUDO;0;;K;2;730;500;14.04.2025 21:45
37;DED-LITDE;0;;A2;0;660;349;14.04.2025 21:45
88;DAB-JAZYK;0;;J1;0;10;16;14.04.2025 21:47
31;CHU-BELDE;0;;A1;1;20;38;14.04.2025 21:45
18;KOR-BELDO;2017759;E.T. (piktogram);A1;0;220;381;14.04.2025 21:45
37;DED-LITDE;2017753;PRINCEZNA (piktogram);;0;60;122;14.04.2025 21:45
37;DED-LITDE;2017761;DÍVKA (piktogram);;0;100;138;14.04.2025 21:45
37;DED-LITDE;2000088;leporela;;0;100;110;14.04.2025 21:45
37;DED-LITDE;2017760;MÁG (piktogram);;0;100;98;14.04.2025 21:45
37;DED-LITDE;2017759;E.T. (piktogram);;0;20;37;14.04.2025 21:45
37;DED-LITDE;0;poezie deti;;0;75;219;14.04.2025 21:45
37;DED-LITDE;0;ost.cizi;;0;20;93;14.04.2025 21:45
58;OPA-DETKOM;28081993;komiksy;;1;250;133;14.04.2025 21:46
37;DED-LITDE;0;;C;1;25;41;14.04.2025 21:45
30;CI3-LITDE;0;;A1;1;3;3;14.04.2025 21:45
37;DED-LITDE;0;;C;2;5;10;14.04.2025 21:45
37;DED-LITDE;0;;D;1;35;105;14.04.2025 21:45
51;DIT-BELDO;0;;B1;0;20;32;14.04.2025 21:46
37;DED-LITDE;0;;D;2;5;3;14.04.2025 21:45
4;OST-BEL;0;;J4;0;55;113;14.04.2025 21:45
37;DED-LITDE;0;;E;1;20;30;14.04.2025 21:45
37;DED-LITDE;0;;E;2;5;1;14.04.2025 21:45
37;DED-LITDE;0;;K;1;90;189;14.04.2025 21:45
37;DED-LITDE;0;;K;2;10;14;14.04.2025 21:45
37;DED-LITDE;0;;L;1;15;33;14.04.2025 21:45
37;DED-LITDE;0;;L;2;5;0;14.04.2025 21:45
37;DED-LITDE;0;;N;1;20;41;14.04.2025 21:45
88;DAB-JAZYK;0;;J2;0;10;13;14.04.2025 21:47
4;OST-BEL;0;;J5;0;10;17;14.04.2025 21:45
4;OST-BEL;0;ost.cizi;;2;5;7;14.04.2025 21:45
4;OST-BEL;2017759;E.T. (piktogram);;2;70;90;14.04.2025 21:45
37;DED-LITDE;0;;N;2;5;16;14.04.2025 21:45
18;KOR-BELDO;2017760;MÁG (piktogram);A1;0;430;523;14.04.2025 21:45
37;DED-LITDE;0;;P;1;15;27;14.04.2025 21:45
37;DED-LITDE;0;;P;2;5;3;14.04.2025 21:45
18;KOR-BELDO;2017762;MILENCI (piktogram);A1;0;390;576;14.04.2025 21:45
18;KOR-BELDO;2017761;DÍVKA (piktogram);A1;0;70;7;14.04.2025 21:45
37;DED-LITDE;0;;R;1;20;21;14.04.2025 21:45
88;DAB-JAZYK;0;;J3;0;50;60;14.04.2025 21:47
37;DED-LITDE;0;;R;2;5;3;14.04.2025 21:45
47;ZME-BELDE;0;;B2;0;5;0;14.04.2025 21:46
37;DED-LITDE;0;;S;1;20;34;14.04.2025 21:45
37;DED-LITDE;0;;S;2;5;1;14.04.2025 21:45
18;KOR-DETI;0;;J2;1;20;0;14.04.2025 21:45
30;CI3-LITDE;0;;A1;2;7;9;14.04.2025 21:45
37;DED-LITDE;0;;T;1;20;41;14.04.2025 21:45
37;DED-LITDE;0;;T;2;5;3;14.04.2025 21:45
37;DED-LITDE;0;;U;1;10;21;14.04.2025 21:45
51;DIT-BELDO;0;;B2;0;255;368;14.04.2025 21:46
37;DED-LITDE;0;;X;1;5;9;14.04.2025 21:45
37;DED-LITDE;0;;X;2;1;3;14.04.2025 21:45
37;DED-LITDE;0;;Y;1;15;43;14.04.2025 21:45
37;DED-LITDE;0;;Y;2;5;11;14.04.2025 21:45
37;DED-LITDE;0;;Z;1;15;17;14.04.2025 21:45
37;DED-LITDE;0;;Z;2;5;3;14.04.2025 21:45
37;DED-KOMIKS;28081993;komiksy;;0;180;150;14.04.2025 21:46
1;beletrie;0;;A1;0;6700;7358;14.04.2025 21:45
37;DED-LITDO;0;;A1;0;1680;2277;14.04.2025 21:46
88;DAB-JAZYK;0;;J4;0;240;285;14.04.2025 21:47
35;BRE-NAUDO;0;;L;2;1000;1025;14.04.2025 21:45
35;BRE-NAUDO;0;;N;2;250;281;14.04.2025 21:45
35;BRE-NAUDO;0;;O;2;85;128;14.04.2025 21:45
35;BRE-NAUDO;0;;P;2;330;376;14.04.2025 21:45
37;DED-LITDO;0;;B1;0;35;37;14.04.2025 21:46
37;DED-LITDO;0;;B2;0;80;139;14.04.2025 21:46
47;ZME-BELDO;2017760;MÁG (piktogram);A1;0;190;248;14.04.2025 21:46
4;OST-BEL;2017759;E.T. (piktogram);;1;10;3;14.04.2025 21:45
18;KOR-DETI;0;;J3;1;40;1;14.04.2025 21:45
18;KOR-KOMDO;28081993;komiksy;;0;350;411;14.04.2025 21:45
37;DED-LITDO;0;ost.cizi;;0;20;23;14.04.2025 21:46
37;DED-LITDO;0;;J4;0;40;60;14.04.2025 21:46
37;DED-LITDO;0;;C;0;105;126;14.04.2025 21:46
37;DED-LITDO;0;;D;0;255;319;14.04.2025 21:46
88;DAB-JAZYK;0;;J5;0;15;21;14.04.2025 21:47
37;DED-LITDO;0;;E;0;245;243;14.04.2025 21:46
37;DED-LITDO;0;;G;0;140;179;14.04.2025 21:46
37;DED-LITDO;0;;K;0;140;162;14.04.2025 21:46
37;DED-LITDO;0;;L;0;110;164;14.04.2025 21:46
37;DED-LITDO;0;;N;0;100;125;14.04.2025 21:46
37;DED-LITDO;0;;O;0;30;25;14.04.2025 21:46
37;DED-LITDO;0;;P;0;90;96;14.04.2025 21:46
18;KOR-CIZODO;0;;J1;0;10;48;14.04.2025 21:45
