select lokace_key, ",", KNODDEL_cisloknih, ",", knoddel_nazev, ",", LOKACE_SHORT, ",", count(kj_key), ",", "30.09.2025" from lokace left join kj on kj_ptr_owner = lokace_key left join knoddel on knoddel_key = lokace_ptr_knoddel group by lokace_key, lokace_short, knoddel_cisloknih, knoddel_nazev order by knoddel_cisloknih
 LOKACE_KEY CONSTANT KNODDEL_CISLOKNIH CONSTANT             KNODDEL_NAZEV CONSTANT LOKACE_SHORT CONSTANT       COUNT CONSTANT   CONSTANT
=========== ======== ================= ======== ========================= ======== ============ ======== =========== ======== ==========
         98 ,                   <null> ,        <null>                    ,        NEZNAMA      ,                 95 ,        30.09.2025
        105 ,                   <null> ,        <null>                    ,        KNIHARI      ,              46799 ,        30.09.2025
        155 ,                   <null> ,        <null>                    ,        EXPEDICE     ,                700 ,        30.09.2025
        337 ,                   <null> ,        <null>                    ,        VYRAZENI     ,                  7 ,        30.09.2025
        338 ,                   <null> ,        <null>                    ,        Michle       ,                  0 ,        30.09.2025
        341 ,                   <null> ,        <null>                    ,        NAVRH        ,              35424 ,        30.09.2025
        357 ,                   <null> ,        <null>                    ,        ZASOBA       ,               4380 ,        30.09.2025
        455 ,                   <null> ,        <null>                    ,        DOKNIHARU    ,               1574 ,        30.09.2025
        456 ,                   <null> ,        <null>                    ,        SAMOPRA      ,              12905 ,        30.09.2025
        530 ,                   <null> ,        <null>                    ,        manipul1     ,                  0 ,        30.09.2025
        531 ,                   <null> ,        <null>                    ,        manipul2     ,                  0 ,        30.09.2025
        532 ,                   <null> ,        <null>                    ,        manipul3     ,                  0 ,        30.09.2025
        533 ,                   <null> ,        <null>                    ,        manipul4     ,                  0 ,        30.09.2025
        645 ,                   <null> ,        <null>                    ,        DIGI         ,               1017 ,        30.09.2025
        709 ,                   <null> ,        <null>                    ,        ROZCIZ       ,                 16 ,        30.09.2025
        723 ,                   <null> ,        <null>                    ,        TRANSPORT    ,                 10 ,        30.09.2025
        819 ,                   <null> ,        <null>                    ,        ALOK         ,               4599 ,        30.09.2025
